Data,Importo,Tipo di Azione,Numero Conto,Codice Filiale
2024-07-11,-37.82,BODA,00011,MI001
2024-02-06,60.62,BODA,00019,MI002
2024-07-27,-51.97,VERS,00014,MI002
2024-07-31,-35.18,DNFC,00020,MI003
2024-04-06,26.77,VERS,00015,MI003
2024-03-15,-39.22,BODA,00014,MI002
2024-07-30,71.86,PAGO,00011,MI003
2024-08-19,67.5,DNFC,00018,MI002
2024-01-18,39.46,VERS,00010,MI003
2024-10-31,-41.53,VERS,00015,MI002
2024-09-12,-18.59,VERS,00011,MI001
2024-08-11,7.67,VERS,00010,MI002
2024-06-02,-96.8,VERS,00019,MI002
2024-08-28,11.58,VERS,00016,MI003
2024-09-17,68.28,BODA,00018,MI003
2024-05-04,41.16,BODA,00014,MI002
2024-09-13,46.13,VERS,00018,MI001
2024-02-22,-57.8,DNFC,00011,MI002
2024-04-06,-15.82,VERS,00017,MI003
2024-01-16,5.09,DNFC,00012,MI001
2024-07-27,60.97,PAGO,00011,MI001
2024-03-24,-51.74,DNFC,00018,MI002
2024-04-12,15.26,BODA,00013,MI003
2024-03-12,-46.06,VERS,00019,MI003
2024-07-10,-88.12,DNFC,00014,MI003
2024-08-29,-18.3,PAGO,00012,MI001
2024-07-28,51.31,PAGO,00018,MI003
2024-09-03,16.1,DNFC,00010,MI002
2024-08-01,11.17,VERS,00019,MI003
2024-09-05,-20.61,VERS,00020,MI001
2024-08-26,-41.63,PAGO,00020,MI003
2024-08-09,-39.38,DNFC,00011,MI002
2024-07-28,8.95,BODA,00018,MI003
2024-09-17,17.28,BODA,00015,MI003
2024-06-02,-0.56,BODA,00012,MI002
2024-04-26,-1.73,VERS,00015,MI002
2024-06-17,20.44,VERS,00012,MI003
2024-07-18,82.58,VERS,00011,MI001
2024-06-09,91.82,VERS,00011,MI002
2024-02-08,44.02,BODA,00018,MI003
2024-02-16,84.76,VERS,00017,MI001
2024-02-03,26.39,PAGO,00018,MI003
2024-04-26,65.81,DNFC,00013,MI002
2024-09-27,27.04,VERS,00017,MI002
2024-06-15,40.54,PAGO,00010,MI003
2024-09-28,-1.98,VERS,00013,MI003
2024-04-08,3.95,DNFC,00019,MI002
2024-04-04,-2.83,VERS,00015,MI002
2024-05-09,-18.2,VERS,00014,MI003
2024-09-01,65.42,PAGO,00018,MI003
2024-05-26,-89.6,VERS,00018,MI003
2024-06-18,-96.86,PAGO,00019,MI002
2024-12-19,-38.09,BODA,00012,MI003
2024-09-11,35.54,PAGO,00019,MI001
2024-06-09,38.83,VERS,00012,MI002
2024-06-16,9.16,PAGO,00012,MI001
2024-10-03,-82.93,DNFC,00013,MI002
2024-06-17,18.73,DNFC,00016,MI003
2024-01-07,43.29,BODA,00011,MI003
2024-12-06,-34.7,DNFC,00013,MI003
2024-11-30,-54.18,VERS,00018,MI001
2024-11-07,76.5,VERS,00019,MI002
2024-08-28,14.54,VERS,00013,MI002
2024-12-05,-93.55,DNFC,00018,MI001
2024-02-03,35.58,VERS,00010,MI001
2024-07-22,31.0,VERS,00017,MI001
2024-12-06,20.22,PAGO,00018,MI001
2024-10-12,-29.64,DNFC,00010,MI002
2024-08-10,20.59,VERS,00012,MI002
2024-07-24,-12.87,PAGO,00012,MI003
2024-04-10,81.09,BODA,00014,MI002
2024-05-16,45.86,VERS,00015,MI003
2024-07-16,76.81,PAGO,00015,MI003
2024-09-04,76.33,DNFC,00014,MI003
2024-06-12,33.55,DNFC,00011,MI002
2024-06-05,65.32,DNFC,00016,MI003
2024-09-26,-46.98,VERS,00013,MI003
2024-07-17,66.43,PAGO,00010,MI003
2024-09-02,52.85,VERS,00015,MI003
2024-01-20,20.73,PAGO,00016,MI003
2024-04-02,-91.75,DNFC,00010,MI003
2024-08-19,-26.53,PAGO,00013,MI001
2024-05-21,0.76,DNFC,00019,MI001
2024-12-13,-89.87,PAGO,00018,MI002
2024-08-24,4.4,PAGO,00017,MI001
2024-08-24,23.2,PAGO,00015,MI003
2024-05-26,-28.59,PAGO,00011,MI002
2024-10-23,70.83,DNFC,00020,MI003
2024-05-02,-98.37,DNFC,00015,MI003
2024-12-25,-89.83,BODA,00017,MI003
2024-05-04,69.01,BODA,00012,MI001
2024-06-04,44.74,VERS,00012,MI002
2024-09-16,-62.63,BODA,00020,MI001
2024-08-20,76.81,DNFC,00019,MI002
2024-04-19,-13.46,VERS,00015,MI001
2024-05-05,30.29,VERS,00012,MI003
2024-11-18,49.52,PAGO,00015,MI003
2024-06-10,45.21,VERS,00011,MI002
2024-03-21,21.33,VERS,00020,MI002
2024-10-12,9.3,PAGO,00018,MI003
