email,nome,cognome,sesso,eta,credito
sherries3@google.com.au,Diana,Herries,Female,42,58.0
mtota21@salento.com,Maira,Totaro,Female,41,38.6
pgillardi@toplist.ch,Patrice,Gillard,Male,36,308.15
toth.f@ucla.edu,Ferenc,Toth,Male,41,362.2
svdeer@indiatimes.com,Sonja,Van Deer,Female,37,88.0
c.diaz.12@elpais.com,Carolina,Diaz,Female,38,19.99
bakshi.a@unesco.org,Akshay,Bakshi,Male,79,20.48
glammas-11@fda.gov,Geraldine,Lammas,Female,41,5.99
cbroadbear2f@technorati.com,Carmen,Broadbear,Female,47,257.4
deagger1983@simpleme.org,Daron,Eagger,Male,38,66.22
lpasley26@usatoday.com,Liam,Pasley,Male,26,138.58
rkeilloh27@unesco.org,Rey,Keilloh,Rather not say,41,210.35
hansfish@hc360.com,Hans,Fischer,Male,19,105.85
nadineds22@email.be,Nadine,De Smet,Female,45,4.38
