nome,cognome,email,genere,eta,credito
DIANA,Herries,sherries3@google.com.au,Female,42,58
Maira,Totaro,mtota21@salento.com,Female,,38.6
Patrice,Gillard,pgillardi@toplist.ch,Male,36,308.15
Ferenc,TOTH,toth.f@ucla.edu,Male,,362.2
SONJA,VAN DEER,svdeer@indiatimes.com,Female,37,88
Carolina,DIAZ,c.diaz.12@elpais.com,Female,38,19.99
Ruby,Mammatt,rmammatt16@prweb,Rather not say,22,116.28
AKSHAY,BAKSHI,bakshi.a@unesco.org,Male,79,20.48
AKSHAY,BAKSHI,bakshi.a@unesco.org,Male,79,20.48
geraldine,lammas,glammas-11@fda.gov,Female,,5.99
Jacek,WLOSKI,jacekwlochem.com,Male,54,207.27
Nichole,De Giovanni,ndegio@ifeng.com,Female,21,-100
Carmen,Broadbear,cbroadbear2f@technorati.com,Female,47,257.4
Carmen,Broadbear,cbroadbear2f@technorati.com,Female,47,257.4
Daron,eagger,deagger1983@simpleme.org,Male,38,66.22
Liam,Pasley,lpasley26@usatoday.com,Male,26,138.58
rey,KEILLOH,rkeilloh27@unesco.org,Rather not say,,210.35
Hans,Fischer,hansfish@hc360.com,Male,19,105.85
Beckie,Swindell,bswindell29@google.co.uk,Female,64,-100
Nadine,De Smet,nadineds22@email.be,Female,45,4.38
