nome,cognome,email,genere,eta,credito,email_ok
Diana,Herries,sherries3@google.com.au,Female,42,58,1
Maira,Totaro,mtota21@salento.com,Female,43,38.6,1
Patrice,Gillard,pgillardi@toplist.ch,Male,36,308.15,1
Ferenc,Toth,toth.f@ucla.edu,Male,43,362.2,1
Sonja,Van Deer,svdeer@indiatimes.com,Female,37,88,1
Carolina,Diaz,c.diaz.12@elpais.com,Female,38,19.99,1
Ruby,Mammatt,rmammatt16@prweb,Rather not say,22,116.28,0
Akshay,Bakshi,bakshi.a@unesco.org,Male,79,20.48,1
Geraldine,Lammas,glammas-11@fda.gov,Female,43,5.99,1
Jacek,Wloski,jacekwlochem.com,Male,54,207.27,0
Carmen,Broadbear,cbroadbear2f@technorati.com,Female,47,257.4,1
Daron,Eagger,deagger1983@simpleme.org,Male,38,66.22,1
Liam,Pasley,lpasley26@usatoday.com,Male,26,138.58,1
Rey,Keilloh,rkeilloh27@unesco.org,Rather not say,43,210.35,1
Hans,Fischer,hansfish@hc360.com,Male,19,105.85,1
Nadine,De Smet,nadineds22@email.be,Female,45,4.38,1
