Nome,Surname,email,Gender,Age,credit
Diana,Herries,sherries3@google.com.au,Female,42,58
Maira,Totaro,mtota21@salento.com,Female,43,38.6
Patrice,Gillard,pgillardi@toplist.ch,Male,36,308.15
Ferenc,TOTH ,toth.f@ucla.edu,Male,43,362.2
Sonja,  VAN DEER,svdeer@indiatimes.com,Female,37,88
Carolina,DIAZ,c.diaz.12@elpais.com,Female,38,19.99
Akshay,BAKSHI,bakshi.a@unesco.org,Male,79,20.48
Geraldine,lammas,glammas-11@fda.gov,Female,43,5.99
Carmen,Broadbear,cbroadbear2f@technorati.com,Female,47,257.4
Daron,eagger,deagger1983@simpleme.org,Male,38,66.22
Liam,Pasley,lpasley26@usatoday.com,Male,26,138.58
Rey,KEILLOH,rkeilloh27@unesco.org,Rather not say,43,210.35
Hans,Fischer,hansfish@hc360.com,Male,19,105.85
Nadine,De Smet,nadineds22@email.be,Female,45,4.38
